Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Sweetie Pie","Illicit Sweetie Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106649376/sweetie-pie,2.8,-1,Boulder,V-easy,1,18,33.99802,-116.15351
Sweetielicious,"Illicit Sweetie Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106649385/sweetielicious,2.2,-1,Boulder,V0-,1,18,33.99802,-116.15351
"Illicit Sweetie","Illicit Sweetie Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105798054/illicit-sweetie,3.1,-1,Boulder,V0,1,18,33.99802,-116.15351
"Mulligan Mantle","Illicit Sweetie Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/114085260/mulligan-mantle,2.0,-1,Boulder,V3,1,8,33.99802,-116.15351
"The Halfling","Halfling Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106649431/the-halfling,2.5,-1,Boulder,V2,1,15,33.99792,-116.15341
"The Real Slam Dunk","Halfling Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106649438/the-real-slam-dunk,2.0,-1,Boulder,V3,1,12,33.99792,-116.15341
"The Sideling","Halfling Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/111505610/the-sideling,3.1,-1,Boulder,V3,1,13,33.99792,-116.15341
Unnamed,"Nicole Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108682718/unnamed,2.7,-1,Boulder,V3,1,15,33.99779,-116.1536
Unknown,"Strawberry Contraceptives Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/111735651/unknown,2.0,-1,Boulder,V1,1,11,33.99762,-116.15424
Wormhole,"Planet X Boulder > Planet X Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105797257/wormhole,1.9,-1,Boulder,"V0+ R",1,20,33.99712,-116.15523
